variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014,,
EA2OWN2,2nd owner of second vehicle,Real Estate,EVEH2OWNER2,"Second owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA2OWN2,2nd owner of second vehicle,Real Estate,EVEH2OWNER3,Suppressed,Assets,0,
EA2USE,Primary use of vehicle,Real Estate,EVEH2USE,"Whether the primary use of the second vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA3OWED,Money owed for third vehicle,Real Estate,EVEH3DEBT,"Whether any money was owed on the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA3OWN1,1st owner of third vehicle,Real Estate,EVEH3OWNER1,"First owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA3OWN2,2nd owner of third vehicle,Real Estate,EVEH3OWNER2,"Second owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA3OWN2,2nd owner of third vehicle,Real Estate,EVEH3OWNER3,"Third owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA3USE,Primary use of vehicle,Real Estate,EVEH3USE,"Whether the primary use of the third vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EABGAS,"Did not pay gas, oil, or electricity bills",Adult Well Being,EAWBGAS,Was ... unable to pay the utility bills?,Adult and Child Well Being,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE1,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE2,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE3,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE1,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE2,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE3,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,0,
EABRENT,Did not pay rent or mortgage,Adult Well Being,EAWBMORT,Was ... unable to pay rent or mortgage?,Adult and Child Well Being,1,
EACNSAF,Consider neighborhood safe from crime.,Adult Well Being,EAWBSAFE,Is ... neighborhood safe from crime?,Adult and Child Well Being,1,
EACSTAY,Stayed at home at certain times.,Adult Well Being,EAWBSTAY,Did ... stay home during certain time because he/she thought it might be unsafe?,Adult and Child Well Being,0,
EAFBALN,Couldn't afford balanced meals,Adult Well Being,EFOOD2,Could not afford balanced meals?,Adult and Child Well Being,0,
EAFDAY,Didn't eat for a whole day,Adult Well Being,EFOOD6,"In 2013, were you ever hungry but didn't eat because there wasn't enough money for food?",Adult and Child Well Being,0,
EAFEVER,Lifetime Armed Forces status,Armed Forces,RAFEVER,Did this person ever serve on active duty in the U.S. Armed Forces?,Demographics,0,
EAFLAST,Food we bought just didn't last,Adult Well Being,EFOOD1,The food you bought did not last?,Adult and Child Well Being,0,
EAFLESS,Ate less than felt you should,Adult Well Being,EFOOD5,"In 2013, did you ever eat less than you felt you should because there wasn't enough money to buy food?",Adult and Child Well Being,0,
EAFNOW,Current Armed Forces status,Armed Forces,EAFNOW,Is this person currently on active duty in the U.S. Armed Forces?,Demographics,0,
EAFSKIP,Cut size or skipped meals,Adult Well Being,EFOOD3,"In 2013, did you ever cut the size of your meals or skip meals because there wasn't enough money for food?",Adult and Child Well Being,0,
EAHCRAC,Problem with holes or cracks in wall or ceiling,Adult Well Being,EAWBCRACK,Are there cracks in the ceiling or walls?,Adult and Child Well Being,0,
EAHHOLE,Problem with holes in the floor,Adult Well Being,EAWBHOLES,Are there holes in the floor?,Adult and Child Well Being,0,
EAHPEST,Problem with pests,Adult Well Being,EAWBPESTS,Is there a problem with pests?,Adult and Child Well Being,0,
EAHPLUM,Problem with plumbing that doesn't work,Adult Well Being,EAWBPLUMB,Are there plumbing problems?,Adult and Child Well Being,0,
EALICH,Non-interest checking account in own name,Assets and Liabilities,EOOWNCHK,Owned any regular (non-interest-earning) checking accounts individually during the reference period.,Assets,0,
EALIDB,Money owed in own name for store bills/credit cards,Assets and Liabilities,EOCCDEBT,Owed any money for credit cards or store bills in own name only during the reference period.,Assets,0,
EALIDO,Money owed in own name for other debt,Assets and Liabilities,EOOTDEBT,Owed any money for other debts in own name only during the reference period.,Assets,0,
EALIYN,Receipt of alimony payments (ISS Code 29),General Income,EALIANY,"Did ... receive payments from a spouse, such as alimony, at any time during the reference period?",Programs,0,
EALJCH,Jointly owned non-interest earning checking accounts,Assets and Liabilities,*** NO MATCH AVAILABLE ***,Owned any regular (non-interest-earning) checking accounts jointly during the reference period [for respondents without a spouse or civil union partner in the household].,Assets,#N/A,
EALJCH,Jointly owned non-interest earning checking accounts,Assets and Liabilities,EJSOWNCHK,"Owned any regular (non-interest-earning) checking accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets,0,
EALJDB,Money owed for store bills/credit cards with spouse,Assets and Liabilities,EJSCCDEBT,Owed any money for credit cards or store bills jointly with a spouse or civil union partner during the reference period.,Assets,0,
EALJDO,Money owed for other debt with spouse,Assets and Liabilities,EJSOTDEBT,Owed any money for other debts jointly with a spouse or civil union partner during the reference period.,Assets,0,
EALLI,Life insurance coverage,Assets and Liabilities,EOWN_LIFE,Owned any life insurance policies during the reference period.,Assets,0,
EALLIT,Type(s) of life insurance policy,Assets and Liabilities,ELIFE_TYPE,Type of life insurance policy owned during the reference period,Assets,0,
EALLTH,Report of complete adult tooth loss,Medical Expenses,EALLTH,Has ... lost all of his/her permanent adult teeth?,Health Care,0,
EANTRAF,Problem in neighborhood street noise,Adult Well Being,EAWBTRAFF,Is street noise or traffic a problem?,Adult and Child Well Being,0,
EANTRSH,"Problem in neighb trash, litter",Adult Well Being,EAWBTRASH,Is trash a problem?,Adult and Child Well Being,0,
EAST1A,U.S. government savings bonds owned,Assets,EOWN_GOVS,"Owned any government securities during the reference period [such as savings bonds, T-Bills, T-Bonds, T-Notes, and government sponsored enterprise (GSE) credit instruments such as Fannie Mae].",Assets,0,
EAST1B,IRA or Keogh account owned,Assets,EOWN_IRAKEO,Owned any IRA or KEOGH accounts during the reference period.,Assets,0,
EAST1C,401k or thrift plan owned,Assets,EOWN_THR401,"Owned any 401k, 403b, 503b, or Thrift Savings Plan accounts during the reference period.",Assets,0,
EAST2A,Interest earning checking account owned,Assets,EOWN_ICHK,Owned any interest-earning checking accounts during the reference period.,Assets,0,
EAST2B,Savings account owned,Assets,EOWN_SAV,Owned any savings accounts during the reference period.,Assets,0,
EAST2C,Money market deposit account owned,Assets,EOWN_MM,Owned any money market accounts or money market funds during the reference period.,Assets,0,
EAST2D,Certificate of deposit owned,Assets,EOWN_CD,Owned any certificates of deposit during the reference period.,Assets,0,
EAST3A,Mutual funds owned,Assets,EOWN_MF,"Owned any mutual funds during the reference period [such as stock funds, bond funds, and similar long-term assets].",Assets,0,
EAST3B,Stocks owned,Assets,EOWN_ST,Owned any stocks during the reference period [excluding stock-options].,Assets,0,
EAST3C,Municipal or corporate bonds owned,Assets,EOWN_MCBD,Owned any municipal or corporate bonds during the reference period.,Assets,0,
EAST4A,Rental property owned,Assets,EOWN_RP,"Owned any rental property during the reference period [such as residential, commercial, industrial, and land rental property, as well as equipment which is rented out (e.g., tractors and computers)].",Assets,0,
EAST4C,Other financial investments owned,Assets,EOWN_OINV,"Owned any other financial investments during the reference period [such as coins, collectibles, jewelry, artwork, mortgages paid to him/her, other loans owed to him/her, and royalties].",Assets,0,
EAUTONUM,Number of vehicles owned by HH,Real Estate,TVEH_NUM,"Number of cars, trucks, or vans owned by the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EAUTOOWN,HH member ownership of vehicle,Real Estate,EOWN_VEH,"Whether any member of the household was the owner of a car, truck, or van during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP1,Did you have any time away from work without pay?,Labor Force,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP2,Did you have a second time away from work without pay?,Labor Force,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP3,Did you have a third time away from work without pay?,Labor Force,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP1,Did you have any time away from work without pay?,Labor Force,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP2,Did you have a second time away from work without pay?,Labor Force,0,
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP3,Did you have a third time away from work without pay?,Labor Force,0,
EBDJT,Jointly owned municipal or corporate bonds,Assets,EJSOWNMCBD,"Owned any municipal or corporate bonds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets,0,
EBDOAST,Solely owned municipal or corporate bonds,Assets,EOOWNMCBD,Owned any municipal or corporate bonds individually during the reference period.,Assets,0,
EBIZNOW1,Ownership of business,Business,RJB1_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,0,
EBIZNOW2,Ownership of business,Business,RJB2_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,0,
EBMNTH,Month of birth,Demographic,EDOB_BMONTH,Month of birth,Demographics,0,
EBNO1,Across-wave business index/number,Business,EJB1_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force,0,
EBNO2,Across-wave business index/number,Business,EJB2_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force,0,
EBORNUS,Respondent was born in the U.S.,Demographic,EBORNUS,Where was ... born?,Demographics,1,
EBRKFST,Receipt of school breakfast,Household,EBREAK_YN,Did child usually get the school breakfast that his/her school provided?,Programs,0,
EBUSCNTR,Number of businesses owned during reference period,Labor Force,RMNUMJOBS,Recode of number of jobs held within the reference month.,Labor Force,0,
ECDJT,Jointly owned certificates of deposit,Assets,EJSOWNCD,"Owned any certificates of deposit jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets,0,
ECDMTH,Medicaid coverage in this month,Health Insurance,RCDMTH,Recode - Monthly Medicaid coverage  (comparable to prior SIPP Panels),Health Insurance,0,
ECDOAST,Solely owned certificates of deposit,Assets,EOOWNCD,Owned any certificates of deposit individually during the reference period.,Assets,0,
ECDUNT1,Medicaid coverage unit for this month,Health Insurance,EMDUNT,Medical Assistance (Medicaid) Coverage Unit; unique within a household. A guardian and children who have Medical Assistance are identified by the same numeric unit value in a month.,Health Insurance,0,
ECFLAG,Flag indicating an other-work-arrangement worker (contingent worker),Labor Force,EJB1_CONCHK,Flag for definite work arrangement.,Labor Force,0,
ECFLAG,Flag indicating an other-work-arrangement worker (contingent worker),Labor Force,EJB2_CONCHK,Flag for definite work arrangement.,Labor Force,0,
ECITIZEN,US Citizenship Status of Respondent,Demographic,ECITIZEN,Is ... a citizen of the United States?,Demographics,1,
ECKD01A,Arrangement of other parent or stepparent,Child Care,EPAR,Child/any child cared for by other parent/step parent while reference parent worked/went to school.,Child and Dependent Care,0,
ECKD01A,Arrangement of other parent or stepparent,Child Care,RPAR,Child is cared for by other parent,Child and Dependent Care,0,
ECKD02A,Arrangement of parent or guardian,Child Care,ESELF,Child/any child cared for by the reference parent while he/she worked/went to school.,Child and Dependent Care,0,
ECKD02A,Arrangement of parent or guardian,Child Care,RSELF,Child is cared for by parent while working,Child and Dependent Care,0,
ECKD03A,Arrangement of sibling age 15 or older,Child Care,ESIB15,Child/children cared for by a sibling 15 years or older while reference parent worked/went to school or when not available.,Child and Dependent Care,0,
ECKD03A,Arrangement of sibling age 15 or older,Child Care,RSIB15,Child is cared for by sibling 15 and older,Child and Dependent Care,0,
ECKD05A,Arrangement of grandparent,Child Care,EGRAN,Child/children cared for by grandparent while reference parent worked/went to school or when not available.,Child and Dependent Care,0,
ECKD05A,Arrangement of grandparent,Child Care,RGRAN,Child is cared for by grandparent,Child and Dependent Care,0,
ECKD06A,Arrangement of any other relative,Child Care,EOTHR,Child/children cared for by other relative while reference parent worked/went to school or when not available.,Child and Dependent Care,0,
ECKD06A,Arrangement of any other relative,Child Care,ROTHR,Child uses other type of child care,Child and Dependent Care,0,
ECKD07A,Arrangement of family day care provider,Child Care,EFAM,Child/children cared for by family day care provider while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
ECKD07A,Arrangement of family day care provider,Child Care,RFAM,Child is in family day care,Child and Dependent Care,0,
ECKD09A,Arrangement of nursery or preschool,Child Care,ENUR,Child/children cared for in a nursery/preschool while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
ECKD09A,Arrangement of nursery or preschool,Child Care,RNUR,Child is in nursery care,Child and Dependent Care,0,
ECKD10A,Arrangement of Head Start program,Child Care,EHEADST,Child/children cared for by a Head Start program while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
ECKD10A,Arrangement of Head Start program,Child Care,RHEADST,Child is in Head Start,Child and Dependent Care,0,
ECKD12F,Arrangement of before or after school care program,Child Care,EPROG,Child/children cared for by before/after school program while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
ECKD12F,Arrangement of before or after school care program,Child Care,RPROG,Child is in before/after school care,Child and Dependent Care,0,
ECKD13F,Arrangement of a non-relative,Child Care,ENREL,Child/children cared for by other non-relative while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
ECKD13F,Arrangement of a non-relative,Child Care,RNREL,Child is in non-relative care,Child and Dependent Care,0,
ECKJT,Jointly owned interest earning checking account,Assets,EJSOWNICHK,"Owned any interest-earning checking accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets,0,
ECKOAST,Solely owned interest earning checking account,Assets,EOOWNICHK,Owned any interest-earning checking accounts individually during the reference period.,Assets,0,
ECLOTHTP,Type of clothing assistance ... received,General Income,ECLTH_TYPE,"Did ... receive clothes, money or vouchers, or both, to buy clothing?",Programs,0,
ECLTHSC1,Clothing assistance from-government agency,General Income,ECLTH_SR1YN,Did ... receive assistance from a government social service agency?,Programs,0,
ECLTHSC2,Clothing assistance from-charity,General Income,ECLTH_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs,0,
ECLTHSC3,Clothing assistance from-family/friends,General Income,ECLTH_SR3YN,Did ... receive assistance from family or friends?,Programs,0,
ECLTHSC4,Clothing assistance from-employer,General Income,ECLTH_SR4YN,Did ... receive assistance from an employer?,Programs,0,
ECLTHSC5,Clothing assistance from-some place else,General Income,ECLTH_SR5YN,Did ... receive assistance from someplace else?,Programs,0,
ECLUBSCH,Does child participate in any clubs,Child Well-Being,ECLUB,Child/children participate in any clubs or organizations after school or on weekends.,Adult and Child Well Being,1,
ECLUBSCH,Does child participate in any clubs,Child Well-Being,RCLUB,Child is in clubs,Adult and Child Well Being,0,
ECLWRK1,Class of worker,Job,EJB1_CLWRK,Class of worker,Labor Force,1,
ECLWRK2,Class of worker,Job,EJB2_CLWRK,Class of worker,Labor Force,0,
ECLWRK2,Class of worker,Job,EJB3_CLWRK,Class of worker,Labor Force,0,
ECLWRK2,Class of worker,Job,EJB4_CLWRK,Class of worker,Labor Force,0,
ECLWRK2,Class of worker,Job,EJB5_CLWRK,Class of worker,Labor Force,0,
ECLWRK2,Class of worker,Job,EJB6_CLWRK,Class of worker,Labor Force,0,
ECLWRK2,Class of worker,Job,EJB7_CLWRK,Class of worker,Labor Force,0,
ECNTRC1,Coverage by union or something like a union contract,Job,EJB1_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force,0,
ECNTRC2,Coverage by union or something like a union contract,Job,EJB2_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force,0,
ECRMTH,Medicare coverage in this month,Health Insurance,ECRMTH,Edited Monthly Indicator for Medicare Coverage,Health Insurance,0,
EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,EDINROP,How many days in a typical week did other parent eat dinner with child/children?,Adult and Child Well Being,1,
EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,RDINROP,Number of times other parent had dinner with child 0-17.,Adult and Child Well Being,0,
EDALYDRG,Report of daily prescription medicine usage,Medical Expenses,EDALYDRG,Did ... take prescription medication on a daily basis?,Health Care,0,
EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,EDAYCARE,Child/children cared for in child care center while reference parent worked/went to school or was not available.,Child and Dependent Care,0,
EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,RDAYCARE,Child is in day care,Child and Dependent Care,0,
EDAYSICK,Number of sickdays in past 12 months,Medical Expenses,TDAYSICK,How many days did illness or injury keep ... in bed more than half of the day?,Health Care,0,
EDDELAY,Physical/mental condition,Child Disability,EDDELAY,Does ... have a serious physical or mental condition or a developmental delay that limits ordinary activity?,Disability,0,
EDIS1,Hearing difficulty,Medical Expenses,EHEARING,Is ... deaf or does he/she have serious difficulty hearing?,Disability,0,
EDIS2,Vision difficulty,Medical Expenses,ESEEING,Is ... blind or does he/she have serious difficulty seeing?,Disability,0,
EDIS3,Cognitive difficulty,Medical Expenses,ECOGNIT,"Does ... have serious difficulty concentrating, remembering, or making decisions?",Disability,0,
EDIS4,Ambulatory difficulty,Medical Expenses,EAMBULAT,Does ... have serious difficulty walking or climbing stairs?,Disability,0,
EDIS5,Self-care difficulty,Medical Expenses,ESELFCARE,Does ... have difficulty dressing or bathing?,Disability,0,
EDIS6,Independent living difficulty,Medical Expenses,EERRANDS,Does ... have difficulty doing errands alone?,Disability,0,
EDISABL,Had a work-limiting physical or mental condition,Labor Force,EDISABL,"Does ... have a physical, mental or other health condition that limits the kind or amount of work he/she can do?",Programs,0,
EDOCNUM,Frequency of physician contact during visit(s),Medical Expenses,TDOCNUM,How many of the visits or calls include contact with a physician?,Health Care,0,
EEATDINN,Number of days you ate dinner with child,Child Well-Being,EDINRPAR,How many days in a typical week did reference parent eat dinner with child/children?,Adult and Child Well Being,1,
EEATDINN,Number of days you ate dinner with child,Child Well-Being,RDINRPAR,Number of times reference parent had dinner with child 0-17.,Adult and Child Well Being,0,
EEDUCATE,Highest Degree received or grade completed,Education,EEDUC,What is the highest level of school ... completed or the highest degree received by December of (reference year)?,Demographics,1,
EEGYAST,Receipt of energy assistance,Household,EENERGY_ASST,Did household receive any energy assistance from the government at any time during the reference year?,Programs,0,
EEGYPMT1,Energy assistance payment by check,Household,EENERGY_PMT1,Energy assistance was received in the form of checks sent to the household.,Programs,0,
EEGYPMT2,Energy assistance payment by coupons,Household,EENERGY_PMT2,Energy assistance was received in the form of coupons or vouchers sent to the household.,Programs,0,
EEGYPMT3,"Energy assist paymnt to utils, fuel dealers, landlord",Household,EENERGY_PMT3,"Energy assistance was received in the form of payments sent directly to the utility company, fuel dealer, or landlord.",Programs,0,
EEMPLOC1,Employer operations in more than one location,Job,EJB1_EMPLOC,Does ... operate in more than one location?,Labor Force,0,
EEMPLOC2,Employer operations in more than one location,Job,EJB2_EMPLOC,Does ... operate in more than one location?,Labor Force,0,
EENLEVEL,Level or grade enrolled,Education,EEDGRADE,Grade level of spell of enrollment,Education Enrollment,0,
EEVERET,Ever retired from a job,Labor Force,EEVERET,Did ... ever retire for any reason from a job or business?,Programs,0,
EEXPSCHL,Has child been expelled from school,Child Well-Being,EEXPSCH,Child/children ever been suspended or expelled from school?,Adult and Child Well Being,0,
EEXPSCHL,Has child been expelled from school,Child Well-Being,REXPSCH,Child was expelled,Adult and Child Well Being,0,
EFCCYN,Receipt of foster child care payments (ISS Code 23),General Income,EFCCANY,Did ... receive foster child care payments at any time during the reference period?,Programs,0,
EFNP,Number of persons in this family or pseudo family,Family,RFPERSONS,Number of persons in family,Demographics,1,
EFOODSC1,food assistance source,General Income,EFOOD_SR1YN,Did ... receive assistance from a government social service agency?,Programs,0,
EFOODSC2,food assistance source,General Income,EFOOD_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs,0,
EFOODSC3,food assistance source,General Income,EFOOD_SR3YN,Did ... receive assistance from family or friends?,Programs,0,
EFOODSC4,food assistance source,General Income,EFOOD_SR4YN,Did ... receive assistance from someplace else?,Programs,0,
EFOODTP1,"food assistance received-money, vouchers for groceries",General Income,EFOOD_TYPE1,"Did ... receive money, vouchers, or certificates to buy groceries or food?",Programs,0,
EFOODTP2,food assistance received-bags of groceries,General Income,EFOOD_TYPE2,Did ... receive bags of groceries or packaged foods?,Programs,0,
EFOODTP3,food assistance received-meals from shelter/charity,General Income,EFOOD_TYPE3,"Did ... receive assistance from a shelter, soup kitchen, Meals-on-Wheels, or other charity?",Programs,0,
EFOODTP4,food assistance received-other,General Income,EFOOD_OTH,Did ... receive some other kind of food assistance?,Programs,0,
EFREELUN,Qualify for free or reduced price school lunch,Household,EFREE_LUNCH,"Were the lunches received free or reduced-price because the family qualified for the School Lunch Program, or full-price because the family did not qualify for the School Lunch Program?",Programs,0,
EFREFPER,Person number of the family reference person,Family,RFAMREF,Person number of the family reference person,Demographics,0,
EFTYPE,Type of family (or pseudo-family),Family,RFAMKIND,Kind of family,Demographics,0,
EGASSCE1,Source of gas vouchers -- gov't agency,General Income,EGAS_SOURCE,Did ... receive gas vouchers through a government social service agency?,Programs,0,
EGRDRPT1,Grade/year child repeated - ENTRY 1,Child Well-Being,EREPGRD,Has child/any children repeated a grade or been held back?,Adult and Child Well Being,0,
EGRDRPT2,Grade/year child repeated - ENTRY 2,Child Well-Being,RREPGRD,Child repeated grade,Adult and Child Well Being,0,
EGRNDPR,Is respondent a grandparent,Fertility History,EGRNDPR,Are you a grandparent?,Fertility History,1,
EGVJT,Jointly owned U.S. Government securities,Assets,EJSOWNGOVS,Owned any government securities jointly during the reference period [for respondents with a spouse or civil union partner in the household].,Assets,0,
EGVOAST,Solely owned U.S. Government securities,Assets,EOOWNGOVS,Owned any government securities individually during the reference period.,Assets,0,
EGVTRNT,Receipt of government subsidized rent,Household,EEHC_RENTSUB,Rent subsidy receipt,Residences,0,
EGVTRNT,Receipt of government subsidized rent,Household,ERENTSUB,"Is ... rent amount lower because he/she is in a federal, state, or local government housing program?",Coverage,0,
EHIMTH,Health ins cover this mnth(not Medicare or Medicaid),Health Insurance,RHIMTH,Recode - Monthly Private coverage  (comparable to prior SIPP Panels),Health Insurance,0,
EHIOLDKD,Coverage of older child (20+) outside the household,Health Insurance,RHIOLDKD,Recode - indicates if child over 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,0,
EHIOTHER,Health insurance coverage of nonhousehold members,Health Insurance,RHIOTHER,Recode - indicating if anyone outside household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,0,
EHIOTHR,Coverage of other person(s) outside the household,Health Insurance,RHIOTHR,"Recode - indicates if other person(s) (besides spouse, or younger child, or older child) outside the household was covered by this insurance plan (comparable to prior SIPP Panels)",Health Insurance,0,
EHIOWNER,"Covered by own plan, someone else's, both or neither",Health Insurance,RHIOWNER,Recode -  policyholder during the month (comparable to prior SIPP Panels),Health Insurance,0,
EHIRSN01,Reason not covered,Health Insurance,EPRV2END_EXP,Reason(s) Private health insurance coverage ended. (Too expensive),Health Insurance,0,
EHISPSE,Coverage of spouse outside the household,Health Insurance,RHISPSE,Recode - indicates if spouse outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,0,
EHIUNT1,1st health insurance coverage unit for this month,Health Insurance,EHIUNT1,Health Insurance Coverage Unit (Private line 1); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance,0,
EHIUNT2,2nd health insurance coverage unit for this month,Health Insurance,EHIUNT2,Health Insurance Coverage Unit (Private line 2); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance,0,
EHIYNGKD,Coverage of younger child (under 20) outside the hhld,Health Insurance,RHIYNGKD,Recode - indicates if child under 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,0,
EHLTSTAT,Report of current health status,Medical Expenses,EHLTSTAT,What is ... health status?,Health Care,0,
