Used,variable_2014,description_2014,topic_2014,variable_2008,description_2008,topic_2008,Used
,EAWBSTAY,Did ... stay home during certain time because he/she thought it might be unsafe?,Adult and Child Well Being,EACSTAY,Stayed at home at certain times.,Adult Well Being,
,EAWBTRAFF,Is street noise or traffic a problem?,Adult and Child Well Being,EANTRAF,Problem in neighborhood street noise,Adult Well Being,
,EAWBTRASH,Is trash a problem?,Adult and Child Well Being,EANTRSH,"Problem in neighb trash, litter",Adult Well Being,
,EBDAD,Mortality status of father,Parents' Natality and Mortality,*** NO MATCH AVAILABLE ***,,,
,EBIODADUS,Was ... biological father born in the U.S.?,Parents' Natality and Mortality,*** NO MATCH AVAILABLE ***,,,
,EBIOMOMUS,Was ... biological mother born in the U.S.?,Parents' Natality and Mortality,*** NO MATCH AVAILABLE ***,,,
,EBMOM,Mortality status of mother,Parents' Natality and Mortality,*** NO MATCH AVAILABLE ***,,,
,EBOATDEBT,"Whether any money was owned on the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,EOV1OWE,Money owed for first other vehicle,Real Estate,
,EBOATOWNER1,"Person number of the first owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,EOV1OWN1,1st owner of 1st other vehicle,Real Estate,
,EBOATOWNER2,"Person number of the second owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,
,EBOATOWNER3,"Person number of the third owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,
1,MONTHCODE,Value of reference month,ID Variables,*** NO MATCH AVAILABLE ***,,,1
,EBREAK_YN,Did child usually get the school breakfast that his/her school provided?,Programs,EBRKFST,Receipt of school breakfast,Household,
,EBSI1PEROWN,Percentage ownership of 1st business/es owned as investment only.,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSI2PEROWN,Percent ownership of second business owned as an investment only as of the end of the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSI3PEROWN,Suppressed,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSJ1PEROWN,Percent ownership of first business owned as a job as of the end of the reference period.,Assets,EVBOW1,Percent of Business owned for first business,,
,EBSJ2PEROWN,Percent ownership of second business owned as a job as of the end of the reference period.,Assets,EVBOW2,Percent of Business owned for second business,Value of Business,
,EBSJ3PEROWN,Percent ownership of third business owned as a job as of the end of the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSJ4PEROWN,Percent ownership of fourth business owned as a job as of the end of the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSJ5PEROWN,Percent ownership of fifth business owned as a job as of the end of the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSJ6PEROWN,Suppressed,Assets,*** NO MATCH AVAILABLE ***,,,
,EBSJ7PEROWN,Suppressed,Assets,*** NO MATCH AVAILABLE ***,,,
,EBUS_INV_NUM,Number of businesses owned as an investment only.,Assets,*** NO MATCH AVAILABLE ***,,,
1,PNUM,Person number,ID Variables,*** NO MATCH AVAILABLE ***,,,1
,ECHLD_ANY,Did ... receive any child care services or assistance in order to go to work or school or training?,Child and Dependent Care,EPAOTHR2,"How about child care services or assistance (since reference month 1 1st,) so you could go to work or school or training?",,
,ECHLD_MNYN,Did ... receive child care assistance to go to work or training this month (1-12)?,Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
1,RANY5,Household count of children under 5,Demographics,*** NO MATCH AVAILABLE ***,,,1
,ECLTH_SR1YN,Did ... receive assistance from a government social service agency?,Programs,ECLTHSC1,Clothing assistance from-government agency,General Income,
,ECLTH_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs,ECLTHSC2,Clothing assistance from-charity,General Income,
,ECLTH_SR3YN,Did ... receive assistance from family or friends?,Programs,ECLTHSC3,Clothing assistance from-family/friends,General Income,
,ECLTH_SR4YN,Did ... receive assistance from an employer?,Programs,ECLTHSC4,Clothing assistance from-employer,General Income,
,ECLTH_SR5YN,Did ... receive assistance from someplace else?,Programs,ECLTHSC5,Clothing assistance from-some place else,General Income,
,ECLTH_TYPE,"Did ... receive clothes, money or vouchers, or both, to buy clothing?",Programs,ECLOTHTP,Type of clothing assistance ... received,General Income,
1,SPANEL,Panel year,ID Variables,*** NO MATCH AVAILABLE ***,,,1
,ECOGNIT,"Does ... have serious difficulty concentrating, remembering, or making decisions?",Disability,EDIS3,Cognitive difficulty,Medical Expenses,
,ECREPAYANYON,"Did ... pay for the care of a child or a disabled person so that a household member could work, attend training, or look for a job in December of the reference year?",Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
,ECRMTH,Edited Monthly Indicator for Medicare Coverage,Health Insurance,ECRMTH,Medicare coverage in this month,Health Insurance,
,ECSAGREE,Have child support payments ever been court ordered or informally agreed to for person's child(ren)?,Programs,RANYAGRE,Child support payments ever agreed to or awarded,Child Support,
,ECSANY,Did ... receive child support payments at any time during the reference period?,Programs,EPAYRECV,Payments received,Child Support,
,ECSMNYN,Months when child support payments were received.,Programs,*** NO MATCH AVAILABLE ***,,,
,EDALYDRG,Did ... take prescription medication on a daily basis?,Health Care,EDALYDRG,Report of daily prescription medicine usage,Medical Expenses,
,EDAYCARE,Child/children cared for in child care center while reference parent worked/went to school or was not available.,Child and Dependent Care,EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,
,EDAYHS,Child/children is cared for by a day care that is a Head Start program while reference parent worked/went to school or was not available.,Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
,EDDELAY,Does ... have a serious physical or mental condition or a developmental delay that limits ordinary activity?,Disability,EDDELAY,Physical/mental condition,Child Disability,
,EDEBT_CC,Owed any money for credit cards or store bills during the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EDEBT_ED,Owed any money for student loans or educational-related expenses during the reference period.,Assets,*** NO MATCH AVAILABLE ***,,,
,EDEBT_OT,"Owed any money for other debts during the reference period [such as medical bills not covered by insurance, loans obtained through a bank or credit union, money owed to private individuals, debt held against mutual funds or stocks].",Assets,*** NO MATCH AVAILABLE ***,,,
,EDEPCLM,Was ... claimed as a dependent on his/her parent's or someone else's return?,Programs,*** NO MATCH AVAILABLE ***,,,
1,SSUID,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",ID Variables,*** NO MATCH AVAILABLE ***,,,1
1,SWAVE,Wave number of interview,ID Variables,*** NO MATCH AVAILABLE ***,,,1
,EDIS10MNYN,Did ... receive other disability income in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS1MNYN,"Did ... receive disability payments from a sickness, accident, or disability insurance policy in this month of the reference period (1-12)?",Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS2MNYN,Did ... receive employer disability payments in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS3MNYN,Did ... receive disability income from a pension from a company or union including income from a profit-sharing plan in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS4MNYN,Did ... receive disability income from a Federal civil service or other Federal civilian employee pension in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS5MNYN,Did ... receive disability income from a State government pension in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS6MNYN,Did ... receive disability income from a Local government pension in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS7MNYN,Did ... receive disability income from a Military retirement pension in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS8MNYN,Did ... receive disability income from a U.S. Government railroad retirement in this month of the reference period (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDIS9MNYN,Suppressed,Programs,*** NO MATCH AVAILABLE ***,,,
,EDISABL,"Does ... have a physical, mental or other health condition that limits the kind or amount of work he/she can do?",Programs,EDISABL,Had a work-limiting physical or mental condition,Labor Force,
,EDISANY,Did ... receive income due to a disability or health condition at anytime during the reference period?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDISTYP10YN,Did ... receive disability income from other disability income?,Programs,ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,
,EDISTYP1YN,"Did ... receive payments from a sickness, accident, or disability insurance policy?",Programs,RINSRSN,Reason for payment from own insurance policy,General Income,
,EDISTYP2YN,Did ... receive employer disability payments?,Programs,REMPDRSN,Reason for receipt of employer disability payments,General Income,
,EDISTYP3YN,Did ... receive disability income from a pension from a company or union including income from a profit-sharing plan?,Programs,RPENSRSN,Reason for pension from company or union,General Income,
,EDISTYP4YN,Did ... receive disability income from a Federal civil service or other Federal civilian employee pension?,Programs,RFCSRSN,Reason for receipt of federal civilian pension,General Income,
,EDISTYP5YN,Did ... receive disability income from a State government pension?,Programs,RSTATRSN,Reason for receipt of state government pension,General Income,
,EDISTYP6YN,Did ... receive disability income from a Local government pension?,Programs,RLGOVRSN,Reason for receipt of local government pension,General Income,
,EDISTYP7YN,Did ... receive disability income from a U.S. Military retirement?,Programs,RMILRSN,Reason for receipt of U.S. military retirement,General Income,
,EDISTYP8YN,Did ... receive disability income from a U.S. Government railroad retirement?,Programs,RRRSN,Reason for receipt of Railroad Retirement pay,General Income,
,EDISTYP9YN,Did ... receive disability income from Black lung benefits?,Programs,*** NO MATCH AVAILABLE ***,,,
,EDISTYPTWO,"Did ... receive payments from a sickness, accident, or disability insurance policy that he/she purchased on his/her own?",Programs,RINSRSN,Reason for payment from own insurance policy,General Income,
,EDOB_BMONTH,Month of birth,Demographics,EBMNTH,Month of birth,Demographic,
,EEDBMONTH,In what month did this enrollment spell begin?,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDCRED,Type of credential enrolled in,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDEMONTH,In what month did this enrollment spell end?,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDENROLL,Flag for any enrollment during the reference period,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDFTPT,Asks whether spell of enrollment was full or part-time.,Education Enrollment,RENROLL,Enrolled Full/Part sometime during 4 month period,Education,
,EEDGRADE,Grade level of spell of enrollment,Education Enrollment,EENLEVEL,Level or grade enrolled,Education,
,EEDGREP,Repeated a grade,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDHEADST,Is nursery school or preschool a Head Start program?,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDPRDNUM,Spell - ordered identifier,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEDTYPE,Type of school enrolled in during spell.,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
1,TDEBT_ED,Person-level sum of value of educational debt (TJSEDDEBTVAL TOEDDEBTVAL),Assets,*** NO MATCH AVAILABLE ***,,,1
,EED_SCRNR,Indicates if a person is enrolled at least once during the reference year.,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,EEHC_MVMO,This is the month of move into the residence referenced by the spell that includes Month1 of the reference year.,Residences,*** NO MATCH AVAILABLE ***,,,
,EEHC_PVTEN,This is the tenure of the residence that precedes the residence of the spell that includes Month1 of the reference year.,Residences,EPREVTEN,Type of tenure of the previous,Migration History,
,EEHC_RENTSUB,Rent subsidy receipt,Residences,EGVTRNT,Receipt of government subsidized rent,Household,
,EEHC_TEN,Tenure of the residence.,Residences,ETENURE,Ownership status of living quarters,Household,
,EEHC_VOUCHER,Housing voucher receipt,Residences,*** NO MATCH AVAILABLE ***,,,
,EEHC_WHY,Reason for move to residence.,Residences,*** NO MATCH AVAILABLE ***,,,
,EEITC,Did ... receive an Earned Income Tax Credit (EITC) on his/her income tax return?,Programs,*** NO MATCH AVAILABLE ***,,,
,EEMPNOESI,Whether employer offered health insurance to any of its employees.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EENERGY_ASST,Did household receive any energy assistance from the government at any time during the reference year?,Programs,EEGYAST,Receipt of energy assistance,Household,
,EENERGY_PMT1,Energy assistance was received in the form of checks sent to the household.,Programs,EEGYPMT1,Energy assistance payment by check,Household,
,EENERGY_PMT2,Energy assistance was received in the form of coupons or vouchers sent to the household.,Programs,EEGYPMT2,Energy assistance payment by coupons,Household,
,EENERGY_PMT3,"Energy assistance was received in the form of payments sent directly to the utility company, fuel dealer, or landlord.",Programs,EEGYPMT3,"Energy assist paymnt to utils, fuel dealers, landlord",Household,
,EERRANDS,Does ... have difficulty doing errands alone?,Disability,EDIS6,Independent living difficulty,Medical Expenses,
,EESAV1BENEF,"Beneficiary of the first educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV1OWNER,"Owner of the first educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV2BENEF,"Beneficiary of the second educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV2OWNER,"Owner of the second educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV3BENEF,"Beneficiary of the third educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV3OWNER,"Owner of the third educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EESAV_NUM,"Number of educational savings accounts of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",Assets,*** NO MATCH AVAILABLE ***,,,
,EEVERET,Did ... ever retire for any reason from a job or business?,Programs,EEVERET,Ever retired from a job,Labor Force,
,EEXPSCH,Child/children ever been suspended or expelled from school?,Adult and Child Well Being,EEXPSCHL,Has child been expelled from school,Child Well-Being,
,EFAM,Child/children cared for by family day care provider while reference parent worked/went to school or was not available.,Child and Dependent Care,ECKD07A,Arrangement of family day care provider,Child Care,
,EFCCANY,Did ... receive foster child care payments at any time during the reference period?,Programs,EFCCYN,Receipt of foster child care payments (ISS Code 23),General Income,
,EFCCMNYN,Months when foster child care payments were received.,Programs,*** NO MATCH AVAILABLE ***,,,
,EFILING,Did ... file a federal income tax return for the previous calendar year?,Programs,*** NO MATCH AVAILABLE ***,,,
,EFINDJOB,Does ... have difficulty finding a job or remaining employed?,Disability,*** NO MATCH AVAILABLE ***,,,
,EFLEXSPND,Does ... have a Flexible Spending Account for health expenses?,Health Care,*** NO MATCH AVAILABLE ***,,,
,EFOOD1,The food you bought did not last?,Adult and Child Well Being,EAFLAST,Food we bought just didn't last,Adult Well Being,
,EFOOD2,Could not afford balanced meals?,Adult and Child Well Being,EAFBALN,Couldn't afford balanced meals,Adult Well Being,
,EFOOD3,"In 2013, did you ever cut the size of your meals or skip meals because there wasn't enough money for food?",Adult and Child Well Being,EAFSKIP,Cut size or skipped meals,Adult Well Being,
,EFOOD4,How often did ... cut the size of his/her meals?,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,EFOOD5,"In 2013, did you ever eat less than you felt you should because there wasn't enough money to buy food?",Adult and Child Well Being,EAFLESS,Ate less than felt you should,Adult Well Being,
,EFOOD6,"In 2013, were you ever hungry but didn't eat because there wasn't enough money for food?",Adult and Child Well Being,EAFDAY,Didn't eat for a whole day,Adult Well Being,
,EFOOD_MNYN,Did ... receive food assistance (not SNAP) this month (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EFOOD_OTH,Did ... receive some other kind of food assistance?,Programs,EFOODTP4,food assistance received-other,General Income,
,EFOOD_SR1YN,Did ... receive assistance from a government social service agency?,Programs,EFOODSC1,food assistance source,General Income,
,EFOOD_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs,EFOODSC2,food assistance source,General Income,
,EFOOD_SR3YN,Did ... receive assistance from family or friends?,Programs,EFOODSC3,food assistance source,General Income,
,EFOOD_SR4YN,Did ... receive assistance from someplace else?,Programs,EFOODSC4,food assistance source,General Income,
,EFOOD_TYPE1,"Did ... receive money, vouchers, or certificates to buy groceries or food?",Programs,EFOODTP1,"food assistance received-money, vouchers for groceries",General Income,
,EFOOD_TYPE2,Did ... receive bags of groceries or packaged foods?,Programs,EFOODTP2,food assistance received-bags of groceries,General Income,
,EFOOD_TYPE3,"Did ... receive assistance from a shelter, soup kitchen, Meals-on-Wheels, or other charity?",Programs,EFOODTP3,food assistance received-meals from shelter/charity,General Income,
,EFREE_BREAK,"Were the lunches received free or reduced-price because the family qualified for the School Lunch Program, or full-price because the family did not qualify for the School Lunch Program?",Programs,*** NO MATCH AVAILABLE ***,,,
,EFREE_LUNCH,"Were the lunches received free or reduced-price because the family qualified for the School Lunch Program, or full-price because the family did not qualify for the School Lunch Program?",Programs,EFREELUN,Qualify for free or reduced price school lunch,Household,
,EFSBRSN1,First reason FS receipt began.,Programs,*** NO MATCH AVAILABLE ***,,,
,EFSBRSN2,Second reason FS receipt began.,Programs,RFB1R2,2nd reason for applying for food stamps the 1st time,General Income,
,EFSERSN1,First reason FS receipt ended,Programs,*** NO MATCH AVAILABLE ***,,,
,EFSLCY,Initial year of FS receipt if the spell began in January of the reference year.,Programs,*** NO MATCH AVAILABLE ***,,,
,EFSOWN,Determine the owner of the Food Stamp/SNAP benefits (the name the benefits are under),Programs,*** NO MATCH AVAILABLE ***,,,
,EFSTATUS,What filing status did ... claim?,Programs,*** NO MATCH AVAILABLE ***,,,
,EFS_BMONTH,When did ... start?,Programs,*** NO MATCH AVAILABLE ***,,,
,EFS_EMONTH,When did ... start?,Programs,*** NO MATCH AVAILABLE ***,,,
,EGAERSN2,Suppressed,Programs,*** NO MATCH AVAILABLE ***,,,
,EGALCY,Initial year of GA receipt if the spell began in January of the reference year.,Programs,*** NO MATCH AVAILABLE ***,,,
,EGAOWN,This question determines the owner of the GA benefits for this spell.,Programs,RCUOW21A,Person number of first owner of Gen Assist coverage,Coverage,
,EGAS_SOURCE,Did ... receive gas vouchers through a government social service agency?,Programs,EGASSCE1,Source of gas vouchers -- gov't agency,General Income,
,EGA_BMONTH,Begin month of GA spell.,Programs,*** NO MATCH AVAILABLE ***,,,
,EGA_EMONTH,End month of GA spell.,Programs,*** NO MATCH AVAILABLE ***,,,
,EGIFTED,Child/children in gifted class/classes.,Adult and Child Well Being,ESPECSCH,Is child a gifted student,Child Well-Being,
,EGRAN,Child/children cared for by grandparent while reference parent worked/went to school or when not available.,Child and Dependent Care,ECKD05A,Arrangement of grandparent,Child Care,
1,TJB3_STRTYR,In what year did ... begin this job/business?,Labor Force,*** NO MATCH AVAILABLE ***,,,1
,EHDEDPLN1,Identifies whether the private health insurance plan is a high deductible plan.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHDEDPLN2,Identifies whether the private health insurance plan is a high deductible plan.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHEADST,Child/children cared for by a Head Start program while reference parent worked/went to school or was not available.,Child and Dependent Care,ECKD10A,Arrangement of Head Start program,Child Care,
,EHEARING,Is ... deaf or does he/she have serious difficulty hearing?,Disability,EDIS1,Hearing difficulty,Medical Expenses,
,EHEMPLY1,"Source of Private health insurance plan line 1 (Employer or job, Former Employer, Union or Association, Bought it directly, School, or something else)",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHEMPLY2,"Source of Private health insurance plan line 2 (Employer or job, Former Employer, Union or Association, Bought it directly, School, or something else)",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI1WHO1,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child under 18),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI1WHO2,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child 18-25),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI1WHO3,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child 26 or over),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI1WHO4,Determines who outside the household - is/are covered under this Private health insurance spell.  (Spouse/partner),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI1WHO5,Determines who outside the household - is/are covered under this Private health insurance spell.  (Other),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI2WHO1,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child under 18),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI2WHO2,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child 18-25),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI2WHO3,Determines who outside the household - is/are covered under this Private health insurance spell.  (Child 26 or over),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI2WHO4,Determines who outside the household - is/are covered under this Private health insurance spell.  (Spouse/partner),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHI2WHO5,Determines who outside the household - is/are covered under this Private health insurance spell. (Other),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHICOST1,"Determines whether employer or union pays all, part, or none of the health insurance policy premium.",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHICOST2,"Determines whether employer or union pays all, part, or none of the health insurance policy premium.",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHIOTHR1,Determines if this private line 1 health insurance plan covers someone outside of the household.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHIOTHR2,Determines if this private line 2 health insurance plan covers someone outside of the household.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHIUNT1,Health Insurance Coverage Unit (Private line 1); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance,EHIUNT1,1st health insurance coverage unit for this month,Health Insurance,
,EHIUNT2,Health Insurance Coverage Unit (Private line 2); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance,EHIUNT2,2nd health insurance coverage unit for this month,Health Insurance,
,EHLTHSAV1,"Determines if Private health insurance ""high deductible plan"" is also a ""Health Savings Account (HSA)"".",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHLTHSAV2,"Determines if Private health insurance ""high deductible plan"" is also a ""Health Savings Account (HSA)"".",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EHLTSTAT,What is ... health status?,Health Care,EHLTSTAT,Report of current health status,Medical Expenses,
,EHOUSE_ANY,Did ... receive assistance to help pay for housing?,Programs,EPAOTHR5,Whether ... received housing assistance,General Income,
,EHOWWELL,How well does ... speak English?,Demographics,EHOWWELL,Ability to speak English,Demographic,
,EHREAS_BIR,"Why was ... in the hospital (for the most recent stay)? (Birth - either to be born, or to give birth, including C-section",Health Care,*** NO MATCH AVAILABLE ***,,,
,EHREAS_DT,Why was ... in the hospital (for the most recent stay)? (Diagnostic test to determine what was wrong),Health Care,*** NO MATCH AVAILABLE ***,,,
,EHREAS_NST,Why was ... in the hospital (for the most recent stay)? (Other treatment or therapy not including surgery),Health Care,*** NO MATCH AVAILABLE ***,,,
,EHREAS_OS,Why was ... in the hospital (for the most recent stay)? (Operation or surgery),Health Care,*** NO MATCH AVAILABLE ***,,,
,EHREAS_OTH,Why was ... in the hospital (for the most recent stay)? (Any other reason),Health Care,*** NO MATCH AVAILABLE ***,,,
,EHRESIDENCID,Interview address ERESIDENCEID,Residences,*** NO MATCH AVAILABLE ***,,,
,EINTTYPE,Type of interview,ID Variables,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOP1,Did you have any time away from work without pay?,Labor Force,EAWOP,Had full-week unpaid absences from work,Labor Force,
,EJB1_AWOP2,Did you have a second time away from work without pay?,Labor Force,EAWOP,Had full-week unpaid absences from work,Labor Force,
,EJB1_AWOP3,Did you have a third time away from work without pay?,Labor Force,EAWOP,Had full-week unpaid absences from work,Labor Force,
,EJB1_AWOPEM1,A value from 1 to 12 indicating the month in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPEM2,A value from 1 to 12 indicating the month in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPEM3,A value from 1 to 12 indicating the month in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPEW1,A value from 1 to 52 indicating the week in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPEW2,A value from 1 to 52 indicating the week in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPEW3,A value from 1 to 52 indicating the week in which a period away without pay ended.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,EJB1_AWOPRE1,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,EABRE,Main reason for being absent without pay,Labor Force,
,EJB1_AWOPRE2,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,EABRE,Main reason for being absent without pay,Labor Force,
,EJB1_AWOPRE3,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force,EABRE,Main reason for being absent without pay,Labor Force,
